가성진
김수진
김수현,제3회 대중문화예술상 은관문화훈장,2012,제6회 세상을 밝게 만든 사람들 방송 부문,2010,제5회 무지개인권상,2010,서울드라마페스티벌 올해의 대한민국 대표작가,2008,제18회 한국방송작가상 드라마부문,2005,한국방송대상 작가상,2005,제37회 백상예술대상 극본상,2001,제17회 백상예술대상 극본상,1981,제16회 백상예술대상 극본상,1980,한국방송대상,1975,제1회 한국방송대상 극본상,1973,제8회 청룡영화상 각본상,1971
김순옥,MBC 연기대상 올해의 작가상,2014
김신혜
김연신
김영영
김영인
김영현,제48회 백상예술대상 TV부문 극본상,2012,제5회 서울드라마어워즈 한류특별상 작가상,2010,한국PD대상 제작부문 TV작가상,2010,MBC 연기대상 TV부문 올해의 작가상,2009,MBC 연기대상 작가부문 특별상,2003,MBC 코미디대상 작가부문 특별상,1998
김예리
김용래
김욱,KBS TV드라마 극본공모 가작,2008
김운경,보관문화훈장,2019
김원석,KBS 연기대상 작가상,2016
김윤영
김윤정
김윤정
김윤주
김윤희
김은숙,제53회 백상예술대상 TV부문 대상,2017,KBS 연기대상 작가상,2016,제7회 대한민국 대중문화예술상 대통령표창,2016,SBS 연기대상 공로상,2012,대한민국 콘텐츠 어워드 방송영상그랑프리 국무총리표창 최우수상 작가부문,2011,제4회 코리아드라마어워즈 작가상,2011,제6회 서울 드라마 어워즈 한류특별상 작가상,2011,SBS 상반기 작품상 및 특별상 시상식 특별상,2011,제47회 백상예술대상 TV부문 극본상,2011,SBS 상반기 작품상 및 특별상 시상식 특별상,2009,SBS 특별상 시상식 드라마부문 특별상,2005,제41회 백상예술대상 TV부문 극본상,2005
김은정,제35회 대종상영화제 각색상,1997
김은희
김은희,제2회 아시아콘텐츠어워즈 작가상 (킹덤 시즌2),2020,대한민국 콘텐츠 대상 대통령 표창,2016,제5회 아시아태평양 스타어워즈 작가상,2016,제52회 백상예술대상 TV부문 극본상,2016
김의찬
김이영
김인영,한국방송작가협회 한국방송작가상 드라마부문,2015,KBS 연기대상 작가상,2015,MBC 연기대상 작가부문 특별상,2004,MBC 연기대상 작가부문 특별상,1996
김재은
김정수,대한민국 대중문화예술상 보관문화훈장,2013,제35회 한국방송대상 작가상,2008,제38회 백상예술대상 TV 극본상,2002,MBC 연기대상 특별상,2001,제11회 한국방송작가상,1998,제30회 백상예술대상 TV 극본상,1994,한국연극영화예술상 TV예술상,1985,NHK 스페셜상,1984,독일후트라 장려상,1983,제10회 한국방송대상 TV극본상,1983,여원 여류신인문학상,1968
김지선,KBS 연예대상 코미디부문 작가상,2003
김지수
김지우
김지운
김지은
김지현,제20회 아시안TV어워즈 단편드라마부문 최우수상,2015
김진무,제4회 대전독립영화제 최우수 작품상,2010,제6회 고양한백대학청소년영화제 기술상,2007,제1회 대전독립영화제 심사위원특별언급상,2007,제1회 대한민국세계청소년영화제 대상,2001
김진숙
김진희
김태희
김한솔,한국방송대상 대상,2017,뉴욕 TV & 필름 페스티벌 작품상 금상,2017,휴스턴 국제영화제 심사위원 특별상,2017,한국방송촬영감독연합회 그리메상 연출상,2016
김현경
김현정
김현정,SBS 극본공모 미니시리즈부문 가작,2014,대한민국 스토리공모대전 우수상,2014
김현준
김현희
김홍주
김환채,영화진흥위원회 한국영화시나리오마켓 우수상,2006
김효선,조선일보 논픽션 대상 우수상,2009
김희재,제41회 대종상영화제 각색상,2004
나연숙
남상욱
노지설
노지현
노창
노혜영
노희경,제53회 백상예술대상 TV부문 극본상,2017,제9회 코리아 드라마 어워즈 작가상,2016,제17회 한국방송프로듀서상 드라마부문 작가상,2005,제11회 상하이국제TV페스티벌 최우수극본상,2005,제17회 한국방송작가상 드라마부문,2004,제40회 백상예술대상 TV부문 작품상,2004,KBS연기대상 작가상,2004,KBS연기대상 작가상,1999,방송위원회 좋은프로그램상,1999,제35회 백상예술대상 TV부문 극본상,1999,MBC연기대상 작가상,1997,제33회 백상예술대상 TV부문 대상,1997,MBC베스트극장 공모 우수작,1995,제17회 한국방송대상 드라마부문 작가상,1990
도현정,제44회 몬테카를로TV페스티벌 최고 작품상,2003
류문상,MBC 드라마 극본공모 미니시리즈부문 장려상,2012
류성희,SBS문화재단 극본공모 미니시리즈부문 가작,2015,MBC 베스트극장 극본공모 최우수상,2002,스포츠서울 신춘문예 추리소설 부문,1996
류용재
마석철
마주희
마진원
마창준,KBS 극본공모 우수상,2004
명수현
목연희
문기람,영화진흥위원회 2011년 3분기 본심 우수상,2011,국가정보원 안보홍보 포스터 공모전 동상,2008,숨은 드라마 찾기 장편극부문 가작,2006
문선희,MBC 방송연예대상 코미디작가상,1996
문소산
문영남,KBS 연기대상 작가상,2013,SBS 연기대상 공로상,2008,KBS 연기대상 특별상,2006,KBS 연기대상 작가상,2004,KBS 연기대상 작가상,1997,제 8회 한국방송프로듀서 작가부문 특별상,1996,제23회 한국방송대상 대상,1996,제23회 한국방송대상 TV작가상,1996,제32회 백상예술대상 TV 극본상,1996,제1회 MBC 문학상,1992
문영훈,MBC 연속물 극본공모 우수작 (달콤한 악연),2014,KBS TV드라마 극본공모 우수작품상 (별들의 고향),2009
문유석
문은아
문지영
문희정
민지형,대한민국 스토리공모대전 우수상,2015
박경선
박경수,제30회 한국방송작가상 드라마 부문,2017,제51회 백상예술대상 TV부문 극본상,2015,제40회 한국방송대상 작가상,2013,제49회 백상예술대상 TV부문 극본상,2013
박계옥
박민정
박범수
박상연,제48회 백상예술대상 TV부문 극본상,2012,제31회 한국영화평론가협회상 각본상,2011,제5회 서울드라마어워즈 한류특별상 작가상,2010,한국PD대상 제작부문 TV작가상,2010,MBC 연기대상 TV부문 올해의 작가상,2009
박상희
박선자
박성진,제12회 KBS TV드라마 극본 가작 (훈수),1999
박승혜
박언희,SBS TV문학상 최우수상,2000,KBS 드라마 극본공모 가작,1996
박연선
박영숙
박예경,제4회 SBS TV문학상 최우수상,2002
박유미
박윤후,제1회 신영미디어 로맨스소설공모전 가작,1996
박은령
박은미
박은영
박재범,대한민국 콘텐츠 대상 국무총리 표창,2017,제6회 코리아 드라마 어워즈 작가상,2013
박재현
박정란,제5회 대한민국 대중문화예술상 은관문화훈장,2014,MBC 연기대상 공로상,2009,제5회 남녀평등방송상 대상,2003,제34회 백상예술대상 TV 극본상,연도없음
박정화
박지숙
박지은,제5회 대한민국 대중문화예술상 국무총리표창,2014,KBS 연기대상 작가상,2012,제1회 K-드라마 스타 어워즈 작가상,2012,대한민국 콘텐츠 대상 문화체육관광부장관 표창,2012,제5회 코리아드라마어워즈 작가상,2012,MBC 연기대상 TV부문 올해의 작가상,2009
박지현
박지현
박진숙,한국방송대상 TV극본상,1993,MBC 방송연기상 작가부문 특별상,1990,백상예술대상 TV극본상,1990
박진우
박필주
박해영,제1회 아시아콘텐츠어워즈 작가상,2019,제55회 백상예술대상 TV부문 극본상,2019,대한민국 콘텐츠 대상 국무총리 표창,2016
박현주
박현진
박형진
박혜련
박혜진,제10회 코리아드라마페스티벌 작가상,2017
방지영,대한민국 스토리 공모대전 우수상,2010
방효금
배유미,MBC 드라마대상 연속극부문 올해의 작가상,2011
배종병
백미경,대한민국 콘텐츠대상 문화체육관광부장관 표창,2017,MBC 극본공모 미니시리즈부문 우수작,2014,SBS 극본공모전 대상,2013,제10회 경상북도 영상콘텐츠 시나리오 공모전 장려상,2012,제1회 MBC 프로덕션 영화 시나리오 공모 우수상,2000
백선우
백영숙
백운철
서동범
서숙향
서영명,흙의 문예상,1988
서유선
서윤희,SBS 드라마 극본공모 대상,2010
서재원
서현주
서희정
선영
설경은,MBC 극본 공모 연속물부문 가작,2008,방송콘텐츠진흥재단 미니시리즈 공모 대상,2008,KBS 극본 공모 우수상,2008,KT디지털컨텐츠 공모전 미니시리즈부문 우수상,2007,MBC 극본 공모 우수상,2005
설준석
성민지
성주현,MBC 드라마 극본공모 일일연속극부문 당선,2015,SBS 단막공모 장려상,1996
소재원
소현경,KBS 연기대상 작가상,2017,제2회 대전드라마페스티벌 작가상,2013,제2회 방송영상그랑프리 작가 부문 문화관광체육부 장관 표창,2009,제10회 방송인상 방송작가 부문,2009
손근주
손영목,MBC 연기대상 올해의 작가상,2012,제33회 백상예술대상 TV부문 극본상,1997
손지혜,KBS 드라마 극본 공모 최우수상,2008
송재정,MBC 연기대상 올해의 작가상,2016,대한민국 콘텐츠 대상 문화체육관광부장관 표창,2016,대한민국 콘텐츠 대상 문화체육관광부장관 표창,2013,한국방송작가협회 제20회 한국방송작가상 예능 부문,2007,제4회 KIPA상 작가상,2003
송정림,KBS 작가상,2005
송지나,제1회 대한민국과학문화상,2000,제2회 한국방송작가협회 드라마부문 한국방송작가상,1996,제22회 한국방송대상 작가상,1995,제3회 백상예술대상 극본상,1995
송혜진
신광호
신명진,MBC 방송연예대상 올해의 작가상,2013,MBC 방송연예대상 작가부문 특별상,2002
신명화
신재원
안소민,MBC 단막극 극본공모 장려상 (삼촌이 소녀를 만났을 때),2010
안용진
안준용,코리아 UHD어워즈 드라마/TV영화부문 작품상,2015,방송위원회대상 우수프로그램부문 대상,2005
안홍란,KBS TV드라마 극본공모 가작,2010
양서윤
양희승
여정미,MBC 베스트극장 극본 공모전 당선,2001
연상호,제53회 백상예술대상 영화부문 신인감독상,2017,제5회 스타의 밤 대한민국 톱스타상 시상식 신인감독상,2016,제37회 청룡영화상 한국영화 최다관객상,2016,제49회 시체스영화제 감독상,2016,제25회 부일영화상 특별상,2016,제34회 한국영화평론가협회상 국제비평가연맹 한국본부상,2014,제46회 시체스영화제 애니메이션 최우수 작품상,2013,제16회 몬트리올 판타지아 영화제 베스트 애니매이션 영화상,2012,제16회 부산국제영화제 무비꼴라쥬상,2011,제16회 부산국제영화제 한국영화감독조합상,2011,제16회 부산국제영화제 넷팩상,2011,제4회 인디애니페스트 관객상,2008
염일호
오보현,SBS 드라마 극본공모 우수상,2010
오상희
오선형,KBS 미니시리즈극본공모전 우수상,2009
오수연
오혜란
운군일,제15회 상하이 국제 TV페스티벌 매그놀리아상 TV 부문 (황금신부),2009,도쿄드라마페스티벌 특별상 (황금신부),2008,제3회 서울드라마어워즈 장편 부문 우수상,2008,제20회 한국PD대상 올해의 PD상,2008,SBS 작품상 최우수상,2008,방송위원회위원장 표창,2007,SBS 유공상,2002,SBS 작품상 최우수상,1997,SBS 작품상,1992,KBS 연출상,1989,KBS 연출상,1988,KBS 연출상,1988,대통령 표창,1987,KBS 우수작품상,1983
원영옥,MBC 극본 공모 최우수상,2011,MBC 드라마 극본공모 단막극부문 장려상,2008
유남경
유동윤,한국방송 프로듀서연합회 작가상,2002,한국방송대상 작가상,2002
유병우
유병재,"MBC 방송연예대상 버라이어티부문 남자 우수상 (선을 넘는 녀석들 리턴즈, 전지적 참견 시점)",2019,MBC 방송연예대상 버라이어티부문 베스트 엔터테이너상,2018,SAF 연예대상 베스트 프랜드상,2016,SAF 연예대상 남자 신인상,2016
유보라,제24회 TV 단막극 극본 공모 최우수상,2011
유성찬
유숭열,제1회 경상북도 영화시나리오 공모전 우수작,2003,한국방송작가협회 신인상 우수작,2003
유영선,제15회 전주국제영화제 CGV무비꼴라쥬 창작지원상,2014
유영아
유윤경,MBC 연기대상 올해의 작가상,2014
유은하
유정희
유진영
유현미,대한민국 콘텐츠 대상 방송영상산업발전유공부문 대통령표창,2019,제6회 임종국상 사회부문,2012,제45회 백상예술대상 TV부문 극본상,2009,제21회 한국방송작가상 드라마부문,2008,KBS 극본공모 최우수상,2001
유혜미
윤경아
윤난중
윤선주,KBS 연기대상 작가상,2006
윤성희,제49회 한국일보문학상,2016,제23회 오늘의 젊은 예술가상 문학부문,2015,제14회 이효석문학상,2013,제11회 황순원문학상,2011,제14회 이수문학상 소설부문,2007,제2회 올해의 예술상 문학부문,2005,제50회 현대문학상,2005
윤성희
윤성희
윤수정
윤영미
윤영수,제192회 이달의PD상,2016,제183회 이달의PD상,2015,제174회 이달의PD상,2014,제167회 이달의PD상,2014,제107회 이달의PD상,2009,제3회 방송문화진흥회 구성작가상 동상,2007,제75회 이달의PD상,2006
윤은경
윤정건
윤지련
윤현호,제51회 대종상영화제 시나리오상,2014
이강
이경미,제22회 춘사영화상 각본상,2017,제17회 부산영화평론가협회상 대상,2016,제36회 한국영화평론가협회상 감독상,2016,올해의 양성평등문화인상,2016,올해의 여성영화인상 각본상,2016,제29회 청룡영화상 신인감독상,2008,제29회 청룡영화상 각본상,2008,올해의 여성영화인상 연출 시나리오상,2008,제3회 미쟝센 단편영화제 비정성시 최우수작품상,2004,제21회 부산 아시아 단편 영화제 동백대상,2004,제2회 아시아나국제단편영화제 대상,2004,제6회 서울 국제여성영화제 최우수상,2004,제6회 서울 국제여성영화제 관객상,2004,대한민국영상대전 아마추어부문 대상,2004
이경희,제44회 백상예술대상 TV부문 극본상,2008
이광근
이광재
이근영
이금림,제8회 대한민국 대중문화예술상 보관문화훈장,2017,제12회 한국방송작가상,1999,제26회 한국방송대상 작가상,1999,제5회 한국방송프로듀서상 특별상,1995,제31회 백상예술대상 TV극본상,1995
이금주
이기원
이남규,KBS 연예대상 코미디부문 방송작가상,2007
이덕재,KBS 연기대상 작가상,2002
이도현,MBC 드라마 극본공모 장려상,2012,MBC 드라마 극본공모 우수상,2011
이란,KBS TV드라마 미니시리즈 극본공모 가작,2009,제4회 SBS 영화문학상 대상,2002
이명숙
이명희
이미나
이미림
이병헌,제38회 서울독립영화제 관객상,2012,제7회 아시아나국제단편영화제 최우수 국내작품상,2009
이새인
이서윤
이선미,신영미디어 로맨스 소설 공모전 우수상,1999
이선영
이선정,MBC 드라마 극본공모 미니시리즈1 부문 장려상,2018,KB창작동화제 대상 (세탁기를 고쳐주세요),2016,MBC 단막극 극본공모 우수상,2009
이선혜
이선희
이성은,MBC 코미디대상 작가부문 특별상,2000
이세라
이수연,제54회 백상예술대상 TV부문 극본상,2018
이숙진
이승무,Kurzfilmfestival 쾰른 Virtual Reality Award,2018,Courant 3D Festival Prix Sacem,2018,Almeria Western Film Festival Audience Choice Award,2011
이시은
이시현,제1회 웹소설 공모대전,2017,한국영화시나리오마켓 2분기 우수상,2006
이영철
이영철
이우정,대한민국 콘텐츠 대상 대통령 표창,2013,제23회 한국방송작가상 시상식 예능부문,2010,KBS 연예대상 쇼오락부문 방송작가상,2008
이원준,판타냐 아비에르타 영화제 실험 카테고리 부문,2018,콜카타 국제 단편영화제 특별언급,2018,다다 사헤브 팔케 국제영화제 특별언급,2018,국제 호러호텔 영화제 서스펜스 스릴러 외국단편부문,2018,대한민국 디자인 문화대전 시각영상디자인부문 특선,2006,안양 여성인권영화제 우수작품상,2005,서울 학생 동아리 한마당 학생MC 부문 표창,2000,제2회 KPGL 정기 게임대회 피파99 부문 개인전 3위,1999
이유진
이유진,제16회 춘사영화상 각본상,2008
이윤종
이은미,제25회 KBS TV드라마 극본공모 가작,2012
이은성,제25회 백상예술대상 특별상,1989,한국 연극영화 TV 예술상 TV 각본상,1984,제13회 백상예술대상 영화 시나리오상,1977,제16회 대종상영화제 시나리오상,1977,제12회 한국연극영화 TV 예술상 최우수시나리오상,1976,제11회 백상예술대상 TV 극본상,1975,한국 연극영화 TV 예술상 최우수 각본상,1975,대한민국예술제 각본상,1973,제6회 백상예술대상 영화 시나리오상,1970,제15회 아시아영화제 최우수 각본상,1969
이은영
이은주
이정란
이정선,KBS 연기대상 작가상,2011,제34회 한국방송대상 작가상,2007,SBS 특별상,2007,MBC 연기대상 특별상 TV부문,2005,제7회 남녀평등방송상 대상,2005,제10회 YWCA가 뽑은 좋은 TV 프로그램상 여성부문 으뜸상,2005
이정선,한국영화시나리오마켓 2분기 최우수상,2006
이정우
이주연
이지향
이진매,KBS 미니시리즈 극본공모전 가작,2009
이하나,KBS TV드라마 극본 공모 단막극 우수상,2013,MBC 드라마 극본 공모 미니시리즈 장려상,2012,KBS N 드라마 대본공모전 미니시리즈 가작,2011
이한호
이향희,동아일보 신춘문예 희곡부문,1998
이현재
이현주
이혜선
이홍구
이환경,제12회 위암 장지연상 방송부문,2001,제28회 한국방송대상 작가상,2001,제10회 한국방송프로듀서상 작가부문,1998
이희명
이희우,제6회 대한민국 대중문화예술상 보관문화훈장,2015,제13회 한국방송작가상 드라마 부문,2000,한국방송대상 TV작가상,1997,제9회 한국프로듀서상 작가상,1997,대종상 각색상,1987,대종상 각본상,1983,한국방송대상 대통령상,1980,백상예술상 시나리오상,1974
인은아
임상춘,제56회 백상예술대상 TV부문 극본상 (동백꽃 필 무렵),2020,KBS 연기대상 작가상 (동백꽃 필 무렵),2019
임수미
임예진
임채준
장덕균,제17회 한국방송작가상 예능부문,2004,KBS 연예대상 코미디부문 작가상,2002,KBS 코미디대상 작가상,1993,KBS 코미디대상 작가상,1988
장민석,제46회 하이원 백상예술대상 영화시나리오상,2010,제15회 이천 춘사대상영화제 각본상,2007,제14회 이천 춘사대상영화제 각본상,2006
장영실
장영철,MBC 연기대상 올해의 작가상,2013,제38회 한국방송대상 개인상 작가부문,2011,KBS 연기대상 작가상,2007
장은미
장진아
장항준,제25회 KBS 연예대상 올해의 엔터테인먼트 DJ상,2018
전신혜
전지현
전철홍
전현진
정경순,MBC 연기대상 올해의 작가상,2013,제38회 한국방송대상 작가상,2011
정도윤,KBS 미니시리즈극본공모 우수상,2009
정서경,제40회 시체스국제판타스틱영화제 각본상,2007
정성주,제3회 대전드라마페스티벌 작가상,2014,제50회 백상예술대상 TV부문 극본상,2014,제36회 백상예술대상 방송극본상,2000
정성희,문화일보 신춘문예 단편소설 부문,1994
정세랑,제7회 창비장편소설상,2014
정수현
정용기,신영 청소년영화제 장려상,1994,금관 단편영화제 장려상,1994,코닥 이스트만 장학프로그램 대상,1994,동백영화제 대상,1994,금관 단편영화제 편집상,1993
정유경
정윤정
정지우,제36회 한국방송대상 개인상부문 작가상,2009
정지은
정진영
정하연,제12회 한국방송프로듀서상 작가상,2000,KBS 연기대상 작가상,1999,백상예술대상 희곡상,1973,동아연극상 희곡상,1973
정해리,문화방송 극본공모 우수상,2007,한국방송작가협회 교육원 신인상 일반 부문 우수,2006
정현민,제32회 한국방송작가상 드라마부문,2019,방송통신위원회 방송대상 방송작가상,2015,KBS 연기대상 작가상,2014,대한민국 콘텐츠 대상 국무총리 표창,2014,제7회 코리아 드라마 어워즈 작가상,2014,제41회 한국방송대상 작가상,2014,제22회 KBS 극본공모 가작,2009
정현정
정형수,제43회 백상예술대상 TV부문 극본상,2007,제19회 한국방송프로듀서상 시상식 TV 작가부문 제작부문상,2007,MBC 연기대상 TV부문 공로상,2006,MBC 연기대상 작가부문 특별상,2003
정혜원,SBS TV 문학상 우수상,2006,제4회 막동이시나리오공모전 가작,2002
정희선,제17회 한국방송작가상 교양부문,2004
조규원
조명주
조성희,MBC 연기대상 올해의 작가상,2015
조수연
조용
조은정
조정선,제12회 코리아드라마어워즈 작가상,2019,KBS 연기대상 작가상,2009
조정주
조정화
조진국
조희
주찬옥
주화미
지상학,제61회 서울특별시 문화상 대중예술부문,2012,제31회 올해의 최우수예술가상 문학부문,2011,제34회 대종상 영화제 각본상,1996,제25회 대종상 영화제 각색상,1986,제19회 백상예술대상 영화 시나리오상,1983
진수완,MBC 연기대상 올해의 작가상,2012
차이영
채승대,제25회 KBS TV 드라마 단막극 극본공모전 최우수작,2012
최대웅,KBS 연예대상 코미디부문 방송작가상,2011
최란,중앙일보 시나리오 공모전 당선,2004
최문경,SBS 연예대상 방송작가상,2009
최민기
최민석,제48회 대종상영화제 시나리오상,2011,한국영화프로듀서조합 최고인기프로젝트상,2009
최보림
최성실
최수영
최수진
최순식,한국PD연합회 이달의 피디상,2006
최연지
최완규,제1회 서울문화예술대상 드라마작가부문 대상,2010,제43회 백상예술대상 TV부문 극본상,2007,제19회 한국방송프로듀서상 시상식 TV 작가부문 제작부문상,2007,MBC 연기대상 TV부문 공로상,2006,제30회 한국방송대상 작가상,2003,MBC 연기대상 TV부문 작가상,2000,제24회 MBC 방송대상 작가상,1994
최윤교,MBC 극본공모 미니시리즈부문 가작,2013
최윤정,KBS 작가상 (KBS 드라마 좋은걸 어떡해),2000,MBC 작가상 (MBC 드라마 짝),1995
최윤정,MBC 베스트극장 극본 공모전 당선,2006
최이랑
최정미
최정현,한국방송작가상,2007
최종구,제24회 KBS TV드라마 극본공모 우수상,2011
최지영,대한민국 스토리 공모대전 최우수상,2012,대한민국 스토리 공모대전 우수상,2012,골든체스트상 성인영화부문 동상,2006
최진원,MBC 연기대상 코미디 작가상,1995
최해철
최현경,KBS연기대상 작가상,2001
최호철,KBS 미니시리즈 극본 공모전 우수상,2012,코리아드라마페스티벌 창작극본 공모 가작,2010,2008년 제2회 한국영화 컨텐츠공모전 대상,2008,영화진흥위원회 한국영화시나리오마켓 극영화 시나리오 부문 우수작품 입선,2008,부산영상위원회 시나리오 공모전 최우수상,2005,SBS TV 문학상 공모전 과학부문 우수작,2003
최희라
하명희,대한민국 콘텐츠 대상 문화체육관광부장관 표창,2016
하무수
하청옥,MBC 연기대상 올해의 작가상,2015,SBS 특별상 시상식 드라마부문 특별상,2005
한상운
한설희
한승운
한정훈
한준영
한지훈
한희정
허선희
허성혜,KBS 단막극 극본 공모 가작,2009
허숙
허승민
허인무,제15회 이천 춘사대상영화제 심사위원특별상,2007,부산아시아영화제 온라인부분 우수인기상,2001
허지영,KBS 미니시리즈 극본공모전 가작,2009
현고운
홍미란,제3회 대중문화예술상 문화체육관광부장관표창,2012,제24회 한국PD대상 TV작가부문,2012,MBC 드라마대상 미니시리즈부문 올해의 작가상,2011
홍보희
홍승현
홍승희,KBS 극본공모 미니시리즈 우수상 기획안부문 (연애의 기술),2011,MBC 드라마 극본공모 연속물부문 가작 (그대와 영원히),2008,SBS TV 문학상 우수상 (내사랑 달자씨),2006
홍영희
홍윤희,KBS 연예대상 코미디부문 최우수 방송작가상,2006
홍자람
홍정은,제3회 대중문화예술상 문화체육관광부장관표창,2012,제24회 한국PD대상 TV작가부문,2012,MBC 드라마대상 미니시리즈부문 올해의 작가상,2011
홍진아
황다은
황민아
황성구,제37회 한국영화평론가협회상 각본상,2017
황순영
황은경
황은오
황조윤,제49회 대종상영화제 시나리오상,2012
황주하
황진영,MBC 연기대상 올해의 작가상,2017,KT 디지털콘텐츠공모전 대상,2007
